code,line_item,period_end,measure,value,asOf
2283,Top 10 investors' ownership ratio at the end of the period,2022-01-31,month,0.9765,2022-03-01
2284,Foreign investors' ownership ratio at the end of the period,2022-01-31,month,0.0002,2022-03-01
2285,Net asset value per Fund Certificate at the end of period,2022-01-31,month,9701.86,2022-03-01
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2022-01-31,month,0.00213066275507417,2022-03-01
22761,Change of Number of Fund Certificates during the period,2022-01-31,month,216230.54,2022-03-01
22762,Change in capital amount during the period (based on par value),2022-01-31,month,2162305400,2022-03-01
22781,Number of Fund Certificates redeemed during the period,2022-01-31,month,-242263.97,2022-03-01
22782,Net redemption amount during the period (based on par value),2022-01-31,month,-2422639700,2022-03-01
22841,Number of investors of the Fund at the end of the period,2022-01-31,month,357,2022-03-01
2265,Management fee paid to the fund management company/Average NAV (%),2022-02-28,month,0.0110475064059457,2022-04-04
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2022-02-28,month,0.00130240619767091,2022-04-04
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2022-02-28,month,0.000312065732704058,2022-04-04
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2022-02-28,month,0.000421610565776255,2022-04-04
2269,Expense/Average NAV (%),2022-02-28,month,0.0157412749213544,2022-04-04
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2022-02-28,month,1.53290683291111,2022-04-04
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2022-02-28,month,282945232500,2022-04-04
2274,Total value of outstanding Fund Certificate at the beginning of period,2022-02-28,month,282945232500,2022-04-04
2275,Total number of outstanding Fund Certificate at the beginning of period,2022-02-28,month,28294523.25,2022-04-04
2276,Change of Fund scale during the period (based on par value of fund certificate),2022-02-28,month,568354700,2022-04-04
2277,Number of Fund Certificates subscribed during the period,2022-02-28,month,356116.51,2022-04-04
2278,Net subscription amount during the period (based on par value),2022-02-28,month,3561165100,2022-04-04
2279,Fund scale at the end of the period (based on par value),2022-02-28,month,283513587200,2022-04-04
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2022-02-28,month,283513587200,2022-04-04
2281,Total number of outstanding Fund Certificate at the end of the period,2022-02-28,month,28351358.72,2022-04-04
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2022-02-28,month,0.942440414016249,2022-04-04
2283,Top 10 investors' ownership ratio at the end of the period,2022-02-28,month,0.9722,2022-04-04
